id,title,pageId
Pārājika,Pārājika,doku.php?id=patimokkha:parajika
Pāṭimokkha,Pāṭimokkha,doku.php?id=patimokkha:patimokkha
Pr 1,Pr 1,doku.php?id=patimokkha:pr1
Pr 2,Pr 2,doku.php?id=patimokkha:pr2
Saṅghādisesa,Saṅghādisesa,doku.php?id=patimokkha:sanghadisesa
